fold,accuracy,macro_f1,f1_positive,f1_negative,f1_neutral,f1_positive_sarcasm,f1_negative_sarcasm
1,0.4789915966386555,0.4785377693016125,0.4639175257731959,0.7238095238095238,0.16901408450704225,0.3888888888888889,0.6470588235294118
2,0.4789915966386555,0.47125939922833426,0.49746192893401014,0.631578947368421,0.2608695652173913,0.3235294117647059,0.6428571428571429
3,0.47257383966244726,0.4818692069368917,0.47619047619047616,0.5904761904761905,0.3023255813953488,0.44776119402985076,0.5925925925925926
4,0.5316455696202531,0.5199239180687049,0.5533980582524272,0.6857142857142857,0.3188405797101449,0.375,0.6666666666666666
5,0.45569620253164556,0.4770621968006033,0.4824120603015075,0.5957446808510638,0.18666666666666668,0.379746835443038,0.7407407407407407
mean±std,0.4836±0.0255,0.4857±0.0174,0.4947±0.0313,0.6455±0.0519,0.2475±0.0602,0.3830±0.0396,0.6580±0.0481

# sarcasm_mean_accuracy,0.8399
# meets_hypothesis_70pct,true
# dummy_majority_accuracy,0.5897
# dummy_majority_macro_f1,0.1484
# n_samples,1187
# n_positive,700
# n_negative,243
# n_neutral,107
# n_positive_sarcasm,86
# n_negative_sarcasm,51
